Title,Company,Location,Salary,Date Posted,Link
SOFTWARE ENGINEER – BACKEND,Jivox,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=2c623dad11357b32&bb=hrcviwo-4GlXaTpKuI05e0YrSVMcXdzpMdxL0co3V2DA1H6edSpXiVcbS1XOkY7rb4fsiwvy0Jsom7pt39ZIioV6A46bVuLScVMX6LylZGl5wGIT9_QuRo1L7WuRxuyD&xkcb=SoDZ67M32mfn3XzThJ0BbzkdCdPP&fccid=bc7d1d6e047afd65&vjs=3
Junior Front End Developer,Finpoint,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=cd91c3aa42217290&bb=hrcviwo-4GlXaTpKuI05e5WrpHlMWA8xGaPl3XuZF5ZOhGMwFr5ZQ42_j78KPthogt2r-g4C38UlRLz17goaGsROB2WZ4NjoHCUrZ_GeCjMcvA9nY-EwahEh2OH4ANvw&xkcb=SoBt67M32mfn3XzThJ0AbzkdCdPP&fccid=ebf3ca47476eb825&vjs=3
Python Developer,Capace Software Private Limited,"J. P. Nagar, Bengaluru, Karnataka",300.0,EmployerActive 3 days ago,https://www.indeed.com/rc/clk?jk=85edafd8b1ffcf72&bb=hrcviwo-4GlXaTpKuI05excGf0QBz1L6YxMArrHTLaPidSNT_Ah4YExuR0AygCPBxMew0_Dq4qe_Bq726BuNkuowMg8Fdr6xGtRYUplruQbEClcP9l_n-53qYOe1cnZz&xkcb=SoDj67M32mfn3XzThJ0HbzkdCdPP&fccid=754427d67f2fff18&cmp=Capace-Software-Private-Limited&ti=Python+Developer&vjs=3
Mendix Developers,4CRisk.ai Software,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=0747f6f0a9f5824a&bb=hrcviwo-4GlXaTpKuI05e6GPyNwYobUuT2qhjJq-DTQMr1zEoGQkVacMbYsBLYcXJiKYdNSe8IVPLByxn164xKyLmm7lfE1MOKysYNDady0zgHG8-wBrgfWj4NiCE8OA&xkcb=SoBX67M32mfn3XzThJ0GbzkdCdPP&fccid=36a8f51b2c9dc3cd&vjs=3
Drupal Developer,ValueHR services,"Bengaluru, Karnataka",0.0,EmployerActive 5 days ago,https://www.indeed.com/rc/clk?jk=0b63a20452805352&bb=hrcviwo-4GlXaTpKuI05e-70jcLrJykQn_LFGMaGkgxm5G_jkpxsBHkxRFINsXESW2NhN6Mrv0ILeS4ggV8qfMA1TKwnVYRw6j4Kkx4WJqPwTo9GDQXtWrQeE_3PGpXB&xkcb=SoDK67M32mfn3XzThJ0FbzkdCdPP&fccid=11e70c6e4b0d732b&cmp=ValueHR-Services&ti=Drupal+Developer&vjs=3
Backend Developer,Ethan-Ai India Private Limited,"Bengaluru, Karnataka",450.0,EmployerActive 3 days ago,https://www.indeed.com/rc/clk?jk=3a238761eb3a65a4&bb=hrcviwo-4GlXaTpKuI05e-Qua8lyoxe6vx4z6SCYsBXIrTNMlbvivWEFzV4joH3Sj0G7JVy0WXfAlr2jfIyoSi9R5QGNpXafoXLtr6nZNbPkmR3MmDxGXq4jc3oa4Q_R&xkcb=SoB-67M32mfn3XzThJ0EbzkdCdPP&fccid=3f22817fbd5f4ed0&cmp=Ethan--Ai-India-Private-Limited&ti=Back+End+Developer&vjs=3
Backend Developer Intern,YAHWEH Software Solutions,"Bengaluru, Karnataka",10000.0,EmployerActive 3 days ago,https://www.indeed.com/rc/clk?jk=42420e55c9216aab&bb=0gAKhBBeDVcAINjE-_IxDBMwOpjQH1Vwo-StR3I4kEaTFriw8W9oVO7169JlSTZVHOhLayFZYnfmpDDJ6ezGg2lhWBf6vlyQ0qJtqpekIzAr2Ihcs1YXMGskjbBZp_fh&xkcb=SoDn67M32mfndKyKXp0DbzkdCdPP&fccid=465acd29d95d4b84&cmp=YAHWEH-Software-Solutions&ti=Back+End+Developer&vjs=3
Application Developer – Microsoft Analytics,Hiretick,"Bengaluru, Karnataka",800.0,EmployerActive 5 days ago,https://www.indeed.com/rc/clk?jk=61baf3e4241fe726&bb=0gAKhBBeDVcAINjE-_IxDExibk4Egbckj7iBoFcYsuFqODvSmStQmNsMbs-scn7rAcEasXueF2fKiiS4KSUMqVXf6lOdskyAC2eAOO96qZ27PXwNc_ipVQTq1_Opc96I&xkcb=SoBT67M32mfndKyKXp0CbzkdCdPP&fccid=7ca2a3e605a6660b&cmp=Hiretick&ti=Application+Developer&vjs=3
Backend Engineer,Inkle,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=58bb6c58aa7ba94d&bb=0gAKhBBeDVcAINjE-_IxDFkGQxQyS3jxKBy_DBGR-AgYLsqktciXrKxJ0wkQoG185cJM6KH3wVECLFjuBWUZKrQSLVRnXKR9UAGRQJu3KgH90tcgisrhfMxkjvXl7PPH&xkcb=SoDO67M32mfndKyKXp0BbzkdCdPP&fccid=8b861c23031834d8&vjs=3
SE-Backend,PhonePe,"Bengaluru, Karnataka",0.0,Not specified,https://www.indeed.com/rc/clk?jk=ed4b27a4f9d2d466&bb=0gAKhBBeDVcAINjE-_IxDIKOqT7Z_TjA0KqkhEEyCjzpOR4s0iwOvzJ6WpEOxXYtc6hkNqoPL9wYVkXkJV7p9GZ5YLmf5F8oN80LxVBBZxPjG84TyJQnh6q_qpKnSgpr&xkcb=SoB667M32mfndKyKXp0AbzkdCdPP&fccid=9efe0489759405d1&vjs=3
